,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score,s_gptscore,n_gptscore,generated,score,s_score,n_score,generated_clean,loss,labels
0,0,20,64,"in one hour , a boat goes 19 km along the stream and 5 km against the stream . the speed of the boat in still water ( in km / hr ) is :","""sol . speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph . answer d""","a ) 2 , b ) 4 , c ) 7 , d ) 12 , e ) 15",d,"divide(add(19, 5), const_2)","add(n0,n1)|divide(#0,const_2)|",physics,Category: physics # sol . speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph . answer d # ,"Category: physics # sol . speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph . answer d # in one hour , a boat goes 19 km along the stream and 5 km against the stream . the speed of the boat in still water ( in km / hr ) is :",category physics sol speed still water 1 2 19 5 kmph 12 kmph answer one hour boat goes 19 km along stream 5 km stream speed boat still water km hr,3,['Category: physics # sol. speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph. answer d # ƫ goes at a speed of 19 km / hr and goes at 5 km / hr. after 15 minutes he goes 10 km / hr. what is his speed in km per hour?'],"(0.5, 2.0)",0.5,2.0,"['Category: physics # sol. speed in still water = 1 / 2 ( 19 + 5 ) kmph = 12 kmph. answer d # ˆ š 90000 - c = 15 kmph. answer c # in one hour, a boat goes 21 km along the stream and 5 km against the stream. the speed of the boat in still water ( in km / hr ) is :']","(0.85, 4.0)",0.85,4.0,category physic sol speed still water 1 2 19 5 kmph 12 kmph answer ˆ š 90000 c 15 kmph answer c one hour boat go 21 km along stream 5 km stream speed boat still water km hr,0.3333333333333333,0.1515432098765432
1,1,22,72,"if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream",speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c,"a ) 6 kmph , b ) 5 kmph , c ) 2 kmph , d ) 3 kmph , e ) 4 kmph",c,"divide(subtract(77, 49), multiply(7, const_2))","multiply(n2,const_2)|subtract(n1,n0)|divide(#1,#0)",physics,Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # ,"Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # if soundharya rows 49 km upstream and 77 km down steam taking 7 hours each , then the speed of the stream",category physics speed upstream 49 7 7 kmph speed stream 77 7 11 kmph speed stream ½ 11 7 2 kmph answer c soundharya rows 49 km upstream 77 km steam taking 7 hours speed stream,3,['Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # т current is the speed of a boat in still water. the sped of the boat in current is 49 km / hr and the speed of the stream is 77 km / hr. the distance against the stream in which the man rows to the nearest place is?'],"(0.6, 1.0)",0.6,1.0,['Category: physics # speed upstream = 49 / 7 = 7 kmph speed down stream = 77 / 7 = 11 kmph speed of stream = ½ ( 11 - 7 ) = 2 kmph answer : c # ˆ š 25 - - - 7 us = 5? - - - 1 s =? s = ( 19 - 5 ) / 2 = 3.5 answer : option c # a man swims downstream 48 km and upstream 48 km taking 7 hours each time ; what is the speed of the current?'],"(0.6, 9.0)",0.6,9.0,category physic speed upstream 49 7 7 kmph speed stream 77 7 11 kmph speed stream ½ 11 7 2 kmph answer c ˆ š 25 7 u 5 1 19 5 2 35 answer option c man swim downstream 48 km upstream 48 km taking 7 hour time speed current,0.6190476190476191,0.35833333333333334
2,2,99,422,"a boat can travel with a speed of 12 km / hr in still water . if the speed of the stream is 4 km / hr , find the time taken by the boat to go 68 km downstream .","""speed of boat in still water = 12 km / hr speed of the stream = 4 km / hr speed downstream = ( 12 + 4 ) = 16 km / hr time taken to travel 68 km downstream = 68 ⁄ 16 = 17 ⁄ 4 = 4.25 hours answer is a""","a ) 4.25 hr , b ) 5.25 hr , c ) 8.25 hr , d ) 2.25 hr , e ) 2.50 hr",a,"divide(68, add(12, 4))","add(n0,n1)|divide(n2,#0)|",physics,Category: physics # speed of boat in still water = 12 km / hr speed of the stream = 4 km / hr speed downstream = ( 12 + 4 ) = 16 km / hr time taken to travel 68 km downstream = 68 ⁄ 16 = 17 ⁄ 4 = 4.25 hours answer is a # ,"Category: physics # speed of boat in still water = 12 km / hr speed of the stream = 4 km / hr speed downstream = ( 12 + 4 ) = 16 km / hr time taken to travel 68 km downstream = 68 ⁄ 16 = 17 ⁄ 4 = 4.25 hours answer is a # a boat can travel with a speed of 12 km / hr in still water . if the speed of the stream is 4 km / hr , find the time taken by the boat to go 68 km downstream .",category physics speed boat still water 12 km hr speed stream 4 km hr speed downstream 12 4 16 km hr time taken travel 68 km downstream 68 16 17 4 425 hours answer boat travel speed 12 km hr still water speed stream 4 km hr find time taken boat go 68 km downstream,3,"['Category: physics # speed of boat in still water = 12 km / hr speed of the stream = 4 km / hr speed downstream = ( 12 + 4 ) = 16 km / hr time taken to travel 68 km downstream = 68 ⁄ 16 = 17 ⁄ 4 = 4.25 hours answer is a # ʵ man goes downstream 12 km / hr and upstream 4 km / hr, taking 4 hours each time. what time will he take to go 68 km upstream?']","(0.65, 2.0)",0.65,2.0,"['Category: physics # speed of boat in still water = 12 km / hr speed of the stream = 4 km / hr speed downstream = ( 12 + 4 ) = 16 km / hr time taken to travel 68 km downstream = 68 ⁄ 16 = 17 ⁄ 4 = 4.25 hours answer is a # ˆ š ’ 3 * 2 * 32 = 982 answer : c # a boat can travel with a speed of 12 km / hr in still water. if the speed of the stream is 4 km / hr, find the time taken by the boat to go 68 km downstream.']","(0.9, 7.0)",0.9,7.0,category physic speed boat still water 12 km hr speed stream 4 km hr speed downstream 12 4 16 km hr time taken travel 68 km downstream 68 16 17 4 425 hour answer ˆ š 3 2 32 982 answer c boat travel speed 12 km hr still water speed stream 4 km hr find time taken boat go 68 km downstream,0.6666666666666666,0.24444444444444446
3,3,115,497,"a man can row upstream at 25 kmph and downstream at 43 kmph , and then find the speed of the man in still water ?","""us = 25 ds = 43 m = ( 43 + 25 ) / 2 = 34 answer : b""","a ) 86 , b ) 34 , c ) 30 , d ) 15 , e ) 17",b,"divide(add(25, 43), const_2)","add(n0,n1)|divide(#0,const_2)|",physics,Category: physics # us = 25 ds = 43 m = ( 43 + 25 ) / 2 = 34 answer : b # ,"Category: physics # us = 25 ds = 43 m = ( 43 + 25 ) / 2 = 34 answer : b # a man can row upstream at 25 kmph and downstream at 43 kmph , and then find the speed of the man in still water ?",category physics us 25 ds 43 43 25 2 34 answer b man row upstream 25 kmph downstream 43 kmph find speed man still water,3,"['Category: physics # us = 25 ds = 43 m = ( 43 + 25 ) / 2 = 34 answer : b # ƫ of a railway track is 25 kmph. it crosses a man in the same direction in which the train is going, then find the speed of the train?']","(0.64, 1.0)",0.64,1.0,"['Category: physics # us = 25 ds = 43 m = ( 43 + 25 ) / 2 = 34 answer : b # ˆ Œ x = 12, y = 6. answer : c # a man can row upstream at 25 kmph and downstream at 39 kmph, and then find the speed of the man in still water?']","(0.82, 1.0)",0.82,1.0,category physic u 25 d 43 43 25 2 34 answer b ˆ œ x 12 6 answer c man row upstream 25 kmph downstream 39 kmph find speed man still water,0.3809523809523809,0.1515432098765432
4,4,131,564,speed of a boat in standing water is 10 kmph and speed of the stream is 2.5 kmph . a man can rows to a place at a distance of 105 km and comes back to the starting point . the total time taken by him is ?,"""speed upstream = 7.5 kmph speed downstream = 12.5 kmph total time taken = 105 / 7.5 + 105 / 12.5 = 22.4 hours answer is b""","a ) 23.4 hours , b ) 22.4 hours , c ) 21.4 hours , d ) 20.4 hours , e ) 19.4 hours",b,"add(multiply(add(add(10, 2.5), subtract(10, 2.5)), 105), multiply(subtract(add(divide(105, add(10, 2.5)), divide(105, subtract(10, 2.5))), add(add(10, 2.5), subtract(10, 2.5))), const_60))","add(n0,n1)|subtract(n0,n1)|add(#0,#1)|divide(n2,#0)|divide(n2,#1)|add(#3,#4)|multiply(n2,#2)|subtract(#5,#2)|multiply(#7,const_60)|add(#6,#8)|",physics,Category: physics # speed upstream = 7.5 kmph speed downstream = 12.5 kmph total time taken = 105 / 7.5 + 105 / 12.5 = 22.4 hours answer is b # ,Category: physics # speed upstream = 7.5 kmph speed downstream = 12.5 kmph total time taken = 105 / 7.5 + 105 / 12.5 = 22.4 hours answer is b # speed of a boat in standing water is 10 kmph and speed of the stream is 2.5 kmph . a man can rows to a place at a distance of 105 km and comes back to the starting point . the total time taken by him is ?,category physics speed upstream 75 kmph speed downstream 125 kmph total time taken 105 75 105 125 224 hours answer b speed boat standing water 10 kmph speed stream 25 kmph man rows place distance 105 km comes back starting point total time taken,3,['Category: physics # speed upstream = 7.5 kmph speed downstream = 12.5 kmph total time taken = 105 / 7.5 + 105 / 12.5 = 22.4 hours answer is b # ʵ œ goes 10 kmph in still water at the rate of 21 kmph. a boatman rows to place at the rate of 12.5 kmph and comes back to the port. in what time will the boatman be 105 km ahead of the port?'],"(0.46, 2.0)",0.46,2.0,"['Category: physics # speed upstream = 7.5 kmph speed downstream = 12.5 kmph total time taken = 105 / 7.5 + 105 / 12.5 = 22.4 hours answer is b # ˆ š ’ x / 8.5 + x / 4.5 = 26 = > x / 8.5 + x / 8.5 = 26 = 5 = > ( 2 x + 3 x ) / 40 = ( 2 ) = > x = 29 km. answer : a # a man can row at 7 kmph in still water. when the river is running at 1.5 kmph, it takes him 50 minutes to row to a place and back. what is the total distance traveled by the man?']","(0.48, 10.0)",0.48,10.0,category physic speed upstream 75 kmph speed downstream 125 kmph total time taken 105 75 105 125 224 hour answer b ˆ š x 85 x 45 26 x 85 x 85 26 5 2 x 3 x 40 2 x 29 km answer man row 7 kmph still water river running 15 kmph take 50 minute row place back total distance traveled man,0.4761904761904761,0.4762345679012346
5,5,160,675,"a man can row upstream at 40 kmph and downstream at 52 kmph , and then find the speed of the man in still water ?","""us = 40 ds = 52 m = ( 40 + 52 ) / 2 = 46 answer : d""","a ) 27 , b ) 40 , c ) 42 , d ) 46 , e ) 24",d,"divide(add(40, 52), const_2)","add(n0,n1)|divide(#0,const_2)|",physics,Category: physics # us = 40 ds = 52 m = ( 40 + 52 ) / 2 = 46 answer : d # ,"Category: physics # us = 40 ds = 52 m = ( 40 + 52 ) / 2 = 46 answer : d # a man can row upstream at 40 kmph and downstream at 52 kmph , and then find the speed of the man in still water ?",category physics us 40 ds 52 40 52 2 46 answer man row upstream 40 kmph downstream 52 kmph find speed man still water,3,['Category: physics # us = 40 ds = 52 m = ( 40 + 52 ) / 2 = 46 answer : d # ƫ ’ s chances of landing in a boat or on the stream can be determined by :'],"(0.7, 2.0)",0.7,2.0,['Category: physics # us = 40 ds = 52 m = ( 40 + 52 ) / 2 = 46 answer : d # ˆ š ll water is flowing at the rate of 40 kmph the amount of water that runs into the sea per minute is?'],"(0.65, 1.0)",0.65,1.0,category physic u 40 d 52 40 52 2 46 answer ˆ š water flowing rate 40 kmph amount water run sea per minute,0.3809523809523809,0.05061728395061729
6,6,163,684,a boatman selling a boat along river flow . if he sell boat in steal water at 3 m / sec and flow of river is 2 m / sec . how much time he will take to sell 100 m .,net speed = 3 + 2 = 5 m / sec distance = 100 m time = 100 / 5 = 20 sec answer d,"a ) 30 , b ) 10 , c ) 15 , d ) 20 , e ) 25",d,"divide(100, add(3, 2))","add(n0,n1)|divide(n2,#0)",physics,Category: physics # net speed = 3 + 2 = 5 m / sec distance = 100 m time = 100 / 5 = 20 sec answer d # ,Category: physics # net speed = 3 + 2 = 5 m / sec distance = 100 m time = 100 / 5 = 20 sec answer d # a boatman selling a boat along river flow . if he sell boat in steal water at 3 m / sec and flow of river is 2 m / sec . how much time he will take to sell 100 m .,category physics net speed 3 2 5 sec distance 100 time 100 5 20 sec answer boatman selling boat along river flow sell boat steal water 3 sec flow river 2 sec much time take sell 100,3,['Category: physics # net speed = 3 + 2 = 5 m / sec distance = 100 m time = 100 / 5 = 20 sec answer d # т moves at 3 km / hr and reaches his destiny in 10 seconds. what time will he take to pass the finish of the 200 metre race?'],"(0.49, 2.0)",0.49,2.0,['Category: physics # net speed = 3 + 2 = 5 m / sec distance = 100 m time = 100 / 5 = 20 sec answer d # ˆ š 25 m deep and the rate of current is 2 kmph. the distance travelled downstream in 12 minutes is'],"(0.53, 2.0)",0.53,2.0,category physic net speed 3 2 5 sec distance 100 time 100 5 20 sec answer ˆ š 25 deep rate current 2 kmph distance travelled downstream 12 minute,0.4761904761904761,0.08179012345679013
7,7,177,759,"a man can row 5 kmph in still water . when the river is running at 2 kmph , it takes him 1 hour to row to a place and black . what is the total distance traveled by the man ?","""m = 5 s = 2 ds = 7 us = 3 x / 7 + x / 3 = 1 x = 2.1 d = 2.1 * 2 = 4.2 answer : d""","a ) 5.75 , b ) 5.7 , c ) 5.76 , d ) 4.2 , e ) 5.71",d,"multiply(divide(multiply(add(5, 2), subtract(5, 2)), add(add(5, 2), subtract(5, 2))), const_2)","add(n0,n1)|subtract(n0,n1)|add(#0,#1)|multiply(#0,#1)|divide(#3,#2)|multiply(#4,const_2)|",physics,Category: physics # m = 5 s = 2 ds = 7 us = 3 x / 7 + x / 3 = 1 x = 2.1 d = 2.1 * 2 = 4.2 answer : d # ,"Category: physics # m = 5 s = 2 ds = 7 us = 3 x / 7 + x / 3 = 1 x = 2.1 d = 2.1 * 2 = 4.2 answer : d # a man can row 5 kmph in still water . when the river is running at 2 kmph , it takes him 1 hour to row to a place and black . what is the total distance traveled by the man ?",category physics 5 2 ds 7 us 3 x 7 x 3 1 x 21 21 2 42 answer man row 5 kmph still water river running 2 kmph takes 1 hour row place black total distance traveled man,3,['Category: physics # m = 5 s = 2 ds = 7 us = 3 x / 7 + x / 3 = 1 x = 2.1 d = 2.1 * 2 = 4.2 answer : d # ƫ can walk 5 kmph in still water. she takes 3 hours a day to row to work and back. the distance between her starting point and starting point is?'],"(0.49, 2.0)",0.49,2.0,"['Category: physics # m = 5 s = 2 ds = 7 us = 3 x / 7 + x / 3 = 1 x = 2.1 d = 2.1 * 2 = 4.2 answer : d # ˆ š 25 - b ) kmph, what is the speed of the man in still water?']","(0.8, 3.0)",0.8,3.0,category physic 5 2 d 7 u 3 x 7 x 3 1 x 21 21 2 42 answer ˆ š 25 b kmph speed man still water,0.6666666666666666,0.11265432098765432
8,8,219,918,"a boat running upstream takes 8 hours 48 minutes to cover a certain distance , while it takes 4 hours to cover the same distance running downstream . what is the ratio between the speed of the boat and speed of the water current respectively ?","let the man ' s rate upstream be x kmph and that downstream be y kmph . then , distance covered upstream in 8 hrs 48 min = distance covered downstream in 4 hrs . 44 * x / 5 = 4 * y y = 11 / 5 * x required ratio = ( y + x ) / 2 : ( y - x ) / 2 = 8 / 5 : 3 / 5 = 8 / 3 ans - b","a ) 8 / 5 , b ) 8 / 3 , c ) 3 / 5 , d ) 5 / 8 , e ) 5 / 3",b,"divide(divide(add(divide(add(divide(48, const_60), 8), 4), const_1), const_2), divide(subtract(divide(add(divide(48, const_60), 8), 4), const_1), const_2))","divide(n1,const_60)|add(n0,#0)|divide(#1,n2)|add(#2,const_1)|subtract(#2,const_1)|divide(#3,const_2)|divide(#4,const_2)|divide(#5,#6)",physics,"Category: physics # let the man ' s rate upstream be x kmph and that downstream be y kmph . then , distance covered upstream in 8 hrs 48 min = distance covered downstream in 4 hrs . 44 * x / 5 = 4 * y y = 11 / 5 * x required ratio = ( y + x ) / 2 : ( y - x ) / 2 = 8 / 5 : 3 / 5 = 8 / 3 ans - b # ","Category: physics # let the man ' s rate upstream be x kmph and that downstream be y kmph . then , distance covered upstream in 8 hrs 48 min = distance covered downstream in 4 hrs . 44 * x / 5 = 4 * y y = 11 / 5 * x required ratio = ( y + x ) / 2 : ( y - x ) / 2 = 8 / 5 : 3 / 5 = 8 / 3 ans - b # a boat running upstream takes 8 hours 48 minutes to cover a certain distance , while it takes 4 hours to cover the same distance running downstream . what is the ratio between the speed of the boat and speed of the water current respectively ?",category physics let man rate upstream x kmph downstream kmph distance covered upstream 8 hrs 48 min distance covered downstream 4 hrs 44 x 5 4 11 5 x required ratio x 2 x 2 8 5 3 5 8 3 ans b boat running upstream takes 8 hours 48 minutes cover certain distance takes 4 hours cover distance running downstream ratio speed boat speed water current respectively,3,"[""Category: physics # let the man's rate upstream be x kmph and that downstream be y kmph. then, distance covered upstream in 8 hrs 48 min = distance covered downstream in 4 hrs. 44 * x / 5 = 4 * y y = 11 / 5 * x required ratio = ( y + x ) / 2 : ( y - x ) / 2 = 8 / 5 : 3 / 5 = 8 / 3 ans - b # ʼ s rate is 1 kmph and the speed of the stream is 18 kmph. what is the ratio between the speed of the boat in still water to the speed of the stream?""]","(0.68, 3.0)",0.68,3.0,"[""Category: physics # let the man's rate upstream be x kmph and that downstream be y kmph. then, distance covered upstream in 8 hrs 48 min = distance covered downstream in 4 hrs. 44 * x / 5 = 4 * y y = 11 / 5 * x required ratio = ( y + x ) / 2 : ( y - x ) / 2 = 8 / 5 : 3 / 5 = 8 / 3 ans - b # ˆ š 9 m deep and 25 m wide is flowing at the rate of 4 kmph the amount of water that runs into the sea per minute is?""]","(0.73, 2.0)",0.73,2.0,category physic let man rate upstream x kmph downstream kmph distance covered upstream 8 hr 48 min distance covered downstream 4 hr 44 x 5 4 11 5 x required ratio x 2 x 2 8 5 3 5 8 3 an b ˆ š 9 deep 25 wide flowing rate 4 kmph amount water run sea per minute,0.9047619047619048,0.08179012345679013
9,9,221,924,"a man can row at 5 kmph in still water . if the velocity of current is 1 kmph and it takes him 1 hour to row to a place and come back , how far is the place ?","""explanation : speed in still water = 5 kmph speed of the current = 1 kmph speed downstream = ( 5 + 1 ) = 6 kmph speed upstream = ( 5 - 1 ) = 4 kmph let the requited distance be x km total time taken = 1 hour = > x / 6 + x / 4 = 1 = > 2 x + 3 x = 12 = > 5 x = 12 = > x = 2.4 km . answer : option c""","a ) 3.2 km , b ) 3 km , c ) 2.4 km , d ) 3.6 km , e ) none of these",c,"divide(multiply(subtract(5, 1), const_3), 5)","subtract(n0,n1)|multiply(#0,const_3)|divide(#1,n0)|",physics,Category: physics # explanation : speed in still water = 5 kmph speed of the current = 1 kmph speed downstream = ( 5 + 1 ) = 6 kmph speed upstream = ( 5 - 1 ) = 4 kmph let the requited distance be x km total time taken = 1 hour = > x / 6 + x / 4 = 1 = > 2 x + 3 x = 12 = > 5 x = 12 = > x = 2.4 km . answer : option c # ,"Category: physics # explanation : speed in still water = 5 kmph speed of the current = 1 kmph speed downstream = ( 5 + 1 ) = 6 kmph speed upstream = ( 5 - 1 ) = 4 kmph let the requited distance be x km total time taken = 1 hour = > x / 6 + x / 4 = 1 = > 2 x + 3 x = 12 = > 5 x = 12 = > x = 2.4 km . answer : option c # a man can row at 5 kmph in still water . if the velocity of current is 1 kmph and it takes him 1 hour to row to a place and come back , how far is the place ?",category physics explanation speed still water 5 kmph speed current 1 kmph speed downstream 5 1 6 kmph speed upstream 5 1 4 kmph let requited distance x km total time taken 1 hour x 6 x 4 1 2 x 3 x 12 5 x 12 x 24 km answer option c man row 5 kmph still water velocity current 1 kmph takes 1 hour row place come back far place,3,['Category: physics # explanation : speed in still water = 5 kmph speed of the current = 1 kmph speed downstream = ( 5 + 1 ) = 6 kmph speed upstream = ( 5 - 1 ) = 4 kmph let the requited distance be x km total time taken = 1 hour = > x / 6 + x / 4 = 1 = > 2 x + 3 x = 12 = > 5 x = 12 = > x = 2.4 km. answer : option c # ʵ œ goes 1 km along the stream and 1 km along the stream. he goes 1 km along the stream and goes 1 km along the stream. what is the distance traveled by ʵ œ when he meets the arrival of the boat?'],"(0.69, 2.0)",0.69,2.0,"['Category: physics # explanation : speed in still water = 5 kmph speed of the current = 1 kmph speed downstream = ( 5 + 1 ) = 6 kmph speed upstream = ( 5 - 1 ) = 4 kmph let the requited distance be x km total time taken = 1 hour = > x / 6 + x / 4 = 1 = > 2 x + 3 x = 12 = > 5 x = 12 = > x = 2.4 km. answer : option c # ˆ š ’ x = 2.4 kmph answer : c # a man can row at 5 kmph in still water. if the velocity of current is 1 kmph and it takes him 1 hour to row to a place and come back, how far is the place?']","(0.85, 0.0)",0.85,0.0,category physic explanation speed still water 5 kmph speed current 1 kmph speed downstream 5 1 6 kmph speed upstream 5 1 4 kmph let requited distance x km total time taken 1 hour x 6 x 4 1 2 x 3 x 12 5 x 12 x 24 km answer option c ˆ š x 24 kmph answer c man row 5 kmph still water velocity current 1 kmph take 1 hour row place come back far place,1.0,0.12253086419753086
