,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score,s_gptscore,n_gptscore,generated,score,s_score,n_score,generated_clean,loss,labels
0,0,0,2,"there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?","""the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c""","a ) 156 , b ) 167 , c ) 870 , d ) 352 , e ) 380",c,"multiply(add(28, const_1), add(add(28, const_1), const_1))","add(n0,const_1)|add(#0,const_1)|multiply(#0,#1)|",physics,"Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c # ","Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i . e . , hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways . 30 p ₂ = 30 * 29 = 870 . answer : c # there are 28 stations between hyderabad and bangalore . how many second class tickets have to be printed , so that a passenger can travel from any station to any other station ?",category physics total number stations 30 30 stations choose two stations direction travel e hyderabad bangalore different bangalore hyderabad 3 ⁰ p ₂ ways 30 p ₂ 30 29 870 answer c 28 stations hyderabad bangalore many second class tickets printed passenger travel station station,4,"['Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i. e., hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways. 30 p ₂ = 30 * 29 = 870. answer : c # тu runs a certain distance at speeds of 10 km / hr and reaches his destiny on time. he goes 30 km at the speed of 20 km / hr and reaches a station 10 km per hour. find the total distance traveled by him?']","(0.59, 4.0)",0.59,4.0,"['Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( i. e., hyderabad to bangalore is different from bangalore to hyderabad ) in 3 ⁰ p ₂ ways. 30 p ₂ = 30 * 29 = 870. answer : c # ernakulamky street begins at 3.2 kilometers until it ends when it meets howe street. gretzky street is intersected every 350 meters by a perpendicular street, and each of those streets other than or 0 consecutive streets other than or 0 st stroke = 2 * 1 / 2 = 1 / 4 left after 2 nd stroke = 0 or 2 * 1 / 4 = 1 / 8 left after 3 rd stroke = 0 or 2 * 1 / 8 = 1 / 16 left after 4 th stroke = 1 / 2 = 1 / 32 left after 5 th stroke = 1 / 2 * 1 / 32 = 1 / 32 left after 6 th stroke = 1 / 32 = 1 / 32 # if 1 / 2 of the air in a tank is removed with each stroke of a vacuum pump, what fraction of the original amount of air has been removed after 6 strokes?']","(0.6, 42.0)",0.6,42.0,category physic total number station 30 30 station choose two station direction travel e hyderabad bangalore different bangalore hyderabad 3 ⁰ p ₂ way 30 p ₂ 30 29 870 answer c ernakulamky street begin 32 kilometer end meet howe street gretzky street intersected every 350 meter perpendicular street street 0 consecutive street 0 st stroke 2 1 2 1 4 left 2 nd stroke 0 2 1 4 1 8 left 3 rd stroke 0 2 1 8 1 16 left 4 th stroke 1 2 1 32 left 5 th stroke 1 2 1 32 1 32 left 6 th stroke 1 32 1 32 1 2 air tank removed stroke vacuum pump fraction original amount air removed 6 stroke,1.0,1.0
1,1,5,27,the lenght of a room is 5.5 m and width is 4 m . find the cost of paving the floor by slabs at the rate of rs . 900 per sq . metre .,"""area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a""","a ) s . 19,800 , b ) s . 15,600 , c ) s . 16,500 , d ) s . 17,600 , e ) s . 17,900",a,"multiply(900, multiply(5.5, 4))","multiply(n0,n1)|multiply(n2,#0)|",physics,Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a # ,Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2 . cost of paving = rs . ( 900 ã — 22 ) = rs . 19800 answer : option a # the lenght of a room is 5.5 m and width is 4 m . find the cost of paving the floor by slabs at the rate of rs . 900 per sq . metre .,category physics area floor 55 ã 4 2 22 2 cost paving rs 900 ã 22 rs 19800 answer option lenght room 55 width 4 find cost paving floor slabs rate rs 900 per sq metre,4,['Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2. cost of paving = rs. ( 900 ã — 22 ) = rs. 19800 answer : option a # т has a rectangular floor 5.5 m by 2 m. how much is the cost of graveling the floor?'],"(0.63, 6.0)",0.63,6.0,['Category: physics # area of the floor = ( 5.5 ã — 4 ) m 2 = 22 m 2. cost of paving = rs. ( 900 ã — 22 ) = rs. 19800 answer : option a # ____________________________________________________________ 22 m long and 8 m broad is to be paved with square tiles. find the cost of paving the floor by slabs at the rate of rs. 900 per sq. metre.'],"(0.61, 5.0)",0.61,5.0,category physic area floor 55 ã 4 2 22 2 cost paving r 900 ã 22 r 19800 answer option ____________________________________________________________ 22 long 8 broad paved square tile find cost paving floor slab rate r 900 per sq metre,0.05649066174775191,0.05649066174775191
2,2,9,38,"oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?","2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a .","a ) 4 th , b ) 5 th , c ) 6 th , d ) 7 th , e ) 8 th",a,"subtract(divide(multiply(2, const_1000), 400), const_1)","multiply(n0,const_1000)|divide(#0,n1)|subtract(#1,const_1)",physics,"Category: physics # 2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a . # ","Category: physics # 2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a . # oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?",category physics 2 km 400 5 however street 2 km mark 5 th street maple street therefore highest numbered street 4 th street answer oak street begins pine street runs directly east 2 kilometers ends meets maple street oak street intersected every 400 meters perpendicular street streets pine street maple street given number beginning 1 st street one block east pine street continuing consecutively 2 nd street 3 rd street etc highest numbered street one block west maple street highest numbered street intersects oak street,4,"['Category: physics # 2 km / 400 m = 5. however, the street at the 2 - km mark is not 5 th street ; it is maple street. therefore, the highest numbered street is 4 th street. the answer is a. # т needs to make an estimate for how many bricks each row through the street at the rate of 3 miles per meter. if there are 400 bricks in the city, how many bricks will be there?']","(0.55, 9.0)",0.55,9.0,"['Category: physics # 2 km / 400 m = 5. however, the street at the 2 - km mark is not 5 th street ; it is maple street. therefore, the highest numbered street is 4 th street. the answer is a. # ________________________________ m long and 15 m broad is to be paved with stones, each measuring 4 dm by 5 dm. how many stones does it make in 1 km?']","(0.58, 8.0)",0.58,8.0,category physic 2 km 400 5 however street 2 km mark 5 th street maple street therefore highest numbered street 4 th street answer ________________________________ long 15 broad paved stone measuring 4 dm 5 dm many stone make 1 km,0.12381830758588887,0.12381830758588887
3,3,10,40,"the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?","""1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c""","a ) 76 , b ) 28 , c ) 50 , d ) 80 , e ) 25",c,"divide(divide(divide(550, divide(add(14, 8), const_2)), 8), const_2)","add(n0,n1)|divide(#0,const_2)|divide(n2,#1)|divide(#2,n1)|divide(#3,const_2)|",physics,Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # ,"Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # the cross - section of a cannel is a trapezium in shape . if the cannel is 14 m wide at the top and 8 m wide at the bottom and the area of cross - section is 550 sq m , the depth of cannel is ?",category physics 1 2 14 8 550 50 answer c cross section cannel trapezium shape cannel 14 wide top 8 wide bottom area cross section 550 sq depth cannel,4,"['Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # ƫ at the gym was climbing to the gym, and she took a shower on her way to the gym. she spent $ 550 dollars around the gym and finished yoga 8 of yoga at the gym, she spent $ 350 dollars on cleaning the gym and 8 percent less than the gym. she spent the rest on her way home and took out her ride at the gym, leaving $ 350 dollars from gym. she spent the rest on her way home and spends the rest on her way home to the gym. she spent the rest on her way home. she spent the rest on her way home and the rest on her way to the gym. she spent the rest on her way home and she spent the rest on her way to the gym. she spent the rest on her way home ; the fraction that she spent on her way home was what fraction of the total amount she spent on her way to the gym?']","(0.29, 4.0)",0.29,4.0,"['Category: physics # 1 / 2 * d ( 14 + 8 ) = 550 d = 50 answer : c # ____________________________________________________________ total number of bricks = 744 * 374 / ( 3 * 2 * 22 ) * ( 1 / 2 ) = 7040 answer : e # how many bricks, each measuring 3 cm * 2 m are needed to build a wall of 8 m x 2 m x 22 cm?']","(0.34, 13.0)",0.34,13.0,category physic 1 2 14 8 550 50 answer c ____________________________________________________________ total number brick 744 374 3 2 22 1 2 7040 answer e many brick measuring 3 cm 2 needed build wall 8 x 2 x 22 cm,0.3062024440857736,0.3062024440857736
4,4,11,41,kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,"""3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c""","a ) 2 / 5 , b ) 7 / 5 , c ) 3 / 5 , d ) 8 / 15 , e ) 1 / 2",c,"subtract(const_1, add(add(divide(4, multiply(add(const_2, 4), 4)), divide(const_2, multiply(add(const_2, 4), 4))), divide(const_1, multiply(add(const_2, 4), 4))))","add(const_2,n0)|multiply(n0,#0)|divide(n0,#1)|divide(const_2,#1)|divide(const_1,#1)|add(#2,#3)|add(#5,#4)|subtract(const_1,#6)|",physics,"Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # ","Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # kim finds a 4 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?",category physics 3 pieces 1 5 length two piece 1 15 2 15 lengths removing one piece pieces kind lengths remain 2 pieces 1 5 e 2 5 1 piece 1 15 1 piece 2 15 gives us 2 5 1 15 2 15 3 5 answer c kim finds 4 meter tree branch marks thirds fifths breaks branch along markings removes one piece every distinct length fraction original branch remains,4,"['Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths. removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i. e 2 / 5, 1 piece of 1 / 15, and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # ƫ ngof a piece of art is available to obtain an extra piece of art for which the gallery must be finished independently in order to obtain an extra piece of art for which the gallery must be completed in time taken by the gallery to complete the painting. if the pieces of art were not rented, what was the approximate number of pieces of art must be sold?']","(0.63, 12.0)",0.63,12.0,"['Category: physics # 3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths. removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i. e 2 / 5, 1 piece of 1 / 15, and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is c # ____ 190 if a circular metal ball rebounds to the edges of a rhombus bisect each other at 10 cm, how many centimeters will it take?']","(0.75, 12.0)",0.75,12.0,category physic 3 piece 1 5 length two piece 1 15 2 15 length removing one piece piece kind length remain 2 piece 1 5 e 2 5 1 piece 1 15 1 piece 2 15 give u 2 5 1 15 2 15 3 5 answer c ____ 190 circular metal ball rebound edge rhombus bisect 10 cm many centimeter take,0.04772884482361079,0.04772884482361079
5,5,13,49,"how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .","""( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c .""","a ) 106 , b ) 109 , c ) 108 , d ) 101 , e ) 104",c,"divide(multiply(multiply(18, 15), 2), multiply(multiply(5, 3), 2))","multiply(n3,n4)|multiply(n0,n1)|multiply(n5,#0)|multiply(n2,#1)|divide(#2,#3)|",physics,Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c . # ,"Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c . # how many cuboids of length 5 m , width 3 m and height 2 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .",category physics 18 15 12 5 3 2 108 answer c many cuboids length 5 width 3 height 2 farmed cuboid 18 length 15 width 2 height,4,"[""Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c. # ƫ ™ s daily earnings are $ 4.05 for eachdayhe works. he earns an average commission of $ 4.05 for each day is worked so that the average ( arithmetic mean ) price of the work is $ 3.00 per day. if ƫ ™ s daily earnings were $ 8.00 for each day, the average price of the work would be $ 6.00 per day. if joe and sam were to leave work, what was the ratio of the average price of a worker's daily sales to that of ƫ ™ s daily sales?""]","(0.41, 6.0)",0.41,6.0,"['Category: physics # ( 18 × 15 × 12 ) / ( 5 × 3 × 2 ) = 108 answer is c. # ˆ — 15 × 7 / 25 × 3 = 381 cm answer is b. # how many cubes of the edges of a cuboid are 18 cm, 15 cm and 12 cm respectively.']","(0.51, 8.0)",0.51,8.0,category physic 18 15 12 5 3 2 108 answer c ˆ 15 7 25 3 381 cm answer b many cube edge cuboid 18 cm 15 cm 12 cm respectively,0.19875489970025362,0.19875489970025362
6,6,14,56,find the length of the wire required to go 14 times round a square field containing 5625 m 2 .,"""a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c""","a ) 15840 , b ) 3388 , c ) 4200 , d ) 8766 , e ) 66711",c,"multiply(square_perimeter(square_edge_by_area(5625)), 14)","square_edge_by_area(n1)|square_perimeter(#0)|multiply(n0,#1)|",physics,Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # ,Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # find the length of the wire required to go 14 times round a square field containing 5625 m 2 .,category physics 2 5625 75 4 300 300 14 4200 answer c find length wire required go 14 times round square field containing 5625 2,4,"['Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # ƫ in srik and prikash can do a piece of work in 10 days, 15 days and 18 days respectively. how many days will they take to complete the work?']","(0.64, 3.0)",0.64,3.0,"['Category: physics # a 2 = 5625 = > a = 75 4 a = 300 300 * 14 = 4200 answer : c # ____________________________________ 99 if a and b represent the distances between sides of a rectangular park are positive integers and 14, what is the value of a + 3 b?']","(0.56, 3.0)",0.56,3.0,category physic 2 5625 75 4 300 300 14 4200 answer c ____________________________________ 99 b represent distance side rectangular park positive integer 14 value 3 b,0.08093151948351394,0.08093151948351394
7,7,15,57,"how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?","""number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c""","a ) 5600 , b ) 6000 , c ) 237 , d ) 7200 , e ) 8600",c,"divide(multiply(multiply(multiply(1, const_100), multiply(2, const_100)), 20), multiply(multiply(25, 11.25), 6))","multiply(n3,const_100)|multiply(n4,const_100)|multiply(n0,n1)|multiply(#0,#1)|multiply(n2,#2)|multiply(n5,#3)|divide(#5,#4)|",physics,Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c # ,"Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237 . answer : option c # how many bricks , each measuring 25 cm x 11.25 cm x 6 cm , will be needed to build a wall of 1 m x 2 m x 20 cm ?",category physics number bricks volume wall volume 1 brick 100 x 200 x 20 25 x 1125 x 6 237 answer option c many bricks measuring 25 cm x 1125 cm x 6 cm needed build wall 1 x 2 x 20 cm,4,['Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237. answer : option c # ƒ digging and bottom = 125 cm then how many bricks will be there in a cubical block?'],"(0.66, 6.0)",0.66,6.0,"['Category: physics # number of bricks = volume of the wall / volume of 1 brick = ( 100 x 200 x 20 ) / ( 25 x 11.25 x 6 ) = 237. answer : option c # ____________________________________________________________ let ’ s height be x metres. then, 2 x * 1.25 x = 8 x = 84 x 6 / 0.85 = > x = 11.8 / 7 x = 8 x 8 / 9.85 = > x = 9.8 answer : a # how many bricks, each measuring 25 cm x 11.25 cm x 6 cm, will be needed to build a wall of 8 m x 2 m x 20 cm?']","(0.56, 12.0)",0.56,12.0,category physic number brick volume wall volume 1 brick 100 x 200 x 20 25 x 1125 x 6 237 answer option c ____________________________________________________________ let height x metre 2 x 125 x 8 x 84 x 6 085 x 118 7 x 8 x 8 985 x 98 answer many brick measuring 25 cm x 1125 cm x 6 cm needed build wall 8 x 2 x 20 cm,0.43117362231957573,0.43117362231957573
8,8,28,102,"there are 28 stations between ernakulam and chennai . how many second class tickets have to be printed , so that a passenger can travel from one station to any other station ?","""the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( ernakulam to chennai is different from chennai to ernakulam ) in 30 p 2 ways . 30 p 2 = 30 * 29 = 870 answer : d""","a ) 800 , b ) 820 , c ) 850 , d ) 870 , e ) 900",d,"multiply(add(28, const_2), subtract(add(28, const_2), const_1))","add(n0,const_2)|subtract(#0,const_1)|multiply(#0,#1)|",physics,Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( ernakulam to chennai is different from chennai to ernakulam ) in 30 p 2 ways . 30 p 2 = 30 * 29 = 870 answer : d # ,"Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( ernakulam to chennai is different from chennai to ernakulam ) in 30 p 2 ways . 30 p 2 = 30 * 29 = 870 answer : d # there are 28 stations between ernakulam and chennai . how many second class tickets have to be printed , so that a passenger can travel from one station to any other station ?",category physics total number stations 30 30 stations choose two stations direction travel ernakulam chennai different chennai ernakulam 30 p 2 ways 30 p 2 30 29 870 answer 28 stations ernakulam chennai many second class tickets printed passenger travel one station station,4,"['Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( ernakulam to chennai is different from chennai to ernakulam ) in 30 p 2 ways. 30 p 2 = 30 * 29 = 870 answer : d # ernkul, steve and cristina are 290 km apart on a straight track. they are moving in the same direction at their constant speed. the distance between them is 30 km more than the sum of their speeds. the distance between them is?']","(0.61, 2.0)",0.61,2.0,"[""Category: physics # the total number of stations = 30 from 30 stations we have to choose any two stations and the direction of travel ( ernakulam to chennai is different from chennai to ernakulam ) in 30 p 2 ways. 30 p 2 = 30 * 29 = 870 answer : d # ernakulam and frazer who live 10 miles apart, meet at a restaurant that is directly north of efrida's home and directly east of frazer's home. if the restaurant is three miles closer to efrida's home, than to frazer's home, how many miles is the restaurant from frazer's home?""]","(0.6, 1.0)",0.6,1.0,category physic total number station 30 30 station choose two station direction travel ernakulam chennai different chennai ernakulam 30 p 2 way 30 p 2 30 29 870 answer ernakulam frazer live 10 mile apart meet restaurant directly north efridas home directly east frazer home restaurant three mile closer efridas home frazer home many mile restaurant frazer home,0.035277841826147106,0.035277841826147106
9,9,31,127,find the expenditure on digging a well 14 m deep and of 3 m diameter at rs . 14 per cubic meter ?,"""22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a""","a ) 1386 , b ) 2799 , c ) 2890 , d ) 1485 , e ) 2780",a,"multiply(volume_cylinder(divide(3, const_2), 14), 14)","divide(n1,const_2)|volume_cylinder(#0,n0)|multiply(n2,#1)|",physics,Category: physics # 22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a # ,Category: physics # 22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a # find the expenditure on digging a well 14 m deep and of 3 m diameter at rs . 14 per cubic meter ?,category physics 22 7 14 3 2 3 2 99 2 99 14 1386 answer find expenditure digging well 14 deep 3 diameter rs 14 per cubic meter,4,"['Category: physics # 22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a # ƫ at the gym and gym. she makes $ 14 per hour for her second half of the gym. she makes $ 14 per hour for her second half. she makes $ 19 per hour for her third half of the gym and spends $ 4 per hour for her fourth half hour for her ride. she makes $ 1386 per hour. she makes $ 986 per hour. she makes $ 5 per hour. she earns an hour, and she makes an hour. she makes an hour. she makes an hour, that is 1 hour, she make an hour, which she makes an hour, and sam makes an hour. she makes an hour, that is 1 hour, or 6 hours, she makes an hour. she makes an hour, and sam makes an hour. she makes an hour, and sam makes an hour. she increases her output of an hour by 10 %. how many minutes does sam spend on her hourly wage on her sales?']","(0.54, 10.0)",0.54,10.0,['Category: physics # 22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a # ____________________________________ 99 + 23 = 131 - 312 = > r = 27.5 answer : d # find the expenditure on digging a well 14 m deep and of 3 m diameter at rs. 14 per cubic meter?'],"(0.56, 7.0)",0.56,7.0,category physic 22 7 14 3 2 3 2 99 2 99 14 1386 answer ____________________________________ 99 23 131 312 r 275 answer find expenditure digging well 14 deep 3 diameter r 14 per cubic meter,0.2031358081623242,0.2031358081623242
